iter	Accuracy	MultiClass
0	0.7713069773	0.6893577254
1	0.8046813753	0.6851728309
2	0.8047933699	0.6813804002
3	0.8129689775	0.677348466
4	0.809833128	0.6736267337
5	0.8096091388	0.6698078588
6	0.8121850151	0.6660029882
7	0.8140889237	0.6623136698
8	0.8142009184	0.6587526369
9	0.8154328592	0.655322468
10	0.8149848807	0.6518303066
11	0.8153208646	0.6485703719
12	0.8148728861	0.6454379726
13	0.8166648001	0.6421804691
14	0.8159928323	0.6389600545
15	0.8149848807	0.6357508903
16	0.8167767947	0.632509593
17	0.8168887893	0.6294495421
18	0.8162168216	0.6266943214
19	0.8164408108	0.6238760192
20	0.8159928323	0.6208852991
21	0.8154328592	0.617911087
22	0.8157688431	0.6152967286
23	0.8162168216	0.6125975179
24	0.8162168216	0.6100280378
25	0.8159928323	0.6075461957
26	0.8153208646	0.6048600232
27	0.8153208646	0.6022700079
28	0.8162168216	0.5999516976
29	0.8166648001	0.5974529275
30	0.8164408108	0.5948971885
31	0.8162168216	0.5923712432
32	0.8162168216	0.5898226384
33	0.8165528055	0.5875353499
34	0.8165528055	0.5850934854
35	0.8166648001	0.5826956264
36	0.8164408108	0.580481949
37	0.8159928323	0.5782146124
38	0.8154328592	0.5760337518
39	0.8154328592	0.5739290107
40	0.8157688431	0.5719112246
41	0.8156568485	0.5696697887
42	0.8159928323	0.5674681399
43	0.8158808377	0.5653411454
44	0.8158808377	0.5632764347
45	0.8164408108	0.5611877841
46	0.8164408108	0.5591556195
47	0.8162168216	0.5573333489
48	0.8165528055	0.5554812426
49	0.8168887893	0.553569717
50	0.8168887893	0.5516371133
51	0.8167767947	0.5496991354
52	0.817000784	0.5477951484
53	0.8167767947	0.54597603
54	0.8173367678	0.5442920438
55	0.8168887893	0.5425562716
56	0.8175607571	0.5409574888
57	0.8176727517	0.5392236468
58	0.817896741	0.537622651
59	0.8173367678	0.5358552195
60	0.8184567141	0.5341862416
61	0.817896741	0.5326582225
62	0.8180087356	0.5309983164
63	0.8177847463	0.5293281131
64	0.817896741	0.5277869987
65	0.8177847463	0.5263714823
66	0.8183447195	0.5248558289
67	0.8183447195	0.5233052926
68	0.8181207302	0.5220826063
69	0.8181207302	0.5206970564
70	0.8180087356	0.5192409492
71	0.817896741	0.5179591175
72	0.8173367678	0.5166327903
73	0.817896741	0.515115968
74	0.8183447195	0.5136581789
75	0.8186807033	0.5122484413
76	0.8183447195	0.5110467081
77	0.8182327248	0.5096096749
78	0.8180087356	0.5082983037
79	0.8184567141	0.5069613784
80	0.8182327248	0.5056622388
81	0.8180087356	0.5043184387
